date,open,high,low,close,previous,previous_ratio,volume
22/10/20,"26,981.75","27,092.55","26,872.45","27,006.96",-250.42,-0.9,"1,044,530,000"
22/10/19,"27,225.17","27,371.38","27,192.79","27,257.38",101.24,0.4,"957,040,000"
22/10/18,"27,167.73","27,229.88","26,910.10","27,156.14",380.35,1.4,"1,106,720,000"
22/10/17,"26,785.02","26,814.92","26,649.13","26,775.79",-314.97,-1.2,"1,057,210,000"
22/10/14,"26,599.32","27,180.16","26,595.35","27,090.76",853.34,3.3,"1,319,310,000"
22/10/13,"26,398.29","26,408.31","26,237.42","26,237.42",-159.41,-0.6,"1,042,870,000"
22/10/12,"26,353.22","26,495.75","26,313.41","26,396.83",-4.42,0,"1,164,940,000"
22/10/11,"26,757.12","26,759.62","26,369.56","26,401.25",-714.86,-2.6,"1,296,460,000"
22/10/07,"26,975.92","27,198.91","26,921.90","27,116.11",-195.19,-0.7,"1,111,960,000"
22/10/06,"27,137.98","27,399.19","27,137.98","27,311.30",190.77,0.7,"1,139,430,000"
22/10/05,"27,211.32","27,216.80","27,030.55","27,120.53",128.32,0.5,"1,185,700,000"
22/10/04,"26,653.49","26,994.44","26,633.52","26,992.21",776.42,3,"1,378,660,000"
22/10/03,"25,778.95","26,223.84","25,621.96","26,215.79",278.58,1.1,"1,269,340,000"
22/09/30,"26,240.00","26,273.65","25,805.59","25,937.21",-484.84,-1.8,"1,520,290,000"
22/09/29,"26,280.50","26,458.67","26,221.78","26,422.05",248.07,0.9,"1,403,610,000"
22/09/28,"26,422.86","26,516.32","25,938.36","26,173.98",-397.89,-1.5,"1,554,740,000"
22/09/27,"26,585.38","26,680.20","26,523.77","26,571.87",140.32,0.5,"1,145,570,000"
22/09/26,"26,779.44","26,779.44","26,424.60","26,431.55",-722.28,-2.7,"1,526,630,000"
22/09/22,"27,053.58","27,197.07","26,955.18","27,153.83",-159.3,-0.6,"1,144,750,000"
22/09/21,"27,440.84","27,467.34","27,297.50","27,313.13",-375.29,-1.4,"1,068,750,000"
22/09/20,"27,788.68","27,907.45","27,627.86","27,688.42",120.77,0.4,"1,034,410,000"
22/09/16,"27,631.39","27,654.99","27,525.68","27,567.65",-308.26,-1.1,"1,417,560,000"
22/09/15,"27,873.96","27,946.20","27,801.44","27,875.91",57.29,0.2,"897,540,000"
22/09/14,"28,132.70","28,141.92","27,795.64","27,818.62",-796.01,-2.8,"1,200,480,000"
22/09/13,"28,556.21","28,659.76","28,530.36","28,614.63",72.52,0.3,"931,590,000"
22/09/12,"28,483.59","28,612.89","28,438.37","28,542.11",327.36,1.2,"925,870,000"
22/09/09,"28,204.71","28,286.02","28,091.38","28,214.75",149.47,0.5,"1,224,700,000"
22/09/08,"27,732.68","28,083.79","27,718.30","28,065.28",634.98,2.3,"1,207,650,000"
22/09/07,"27,546.01","27,546.01","27,268.70","27,430.30",-196.21,-0.7,"1,115,040,000"
22/09/06,"27,650.15","27,813.78","27,557.99","27,626.51",6.9,0,"850,210,000"
22/09/05,"27,567.29","27,673.44","27,511.68","27,619.61",-31.23,-0.1,"811,920,000"
22/09/02,"27,755.60","27,772.37","27,570.74","27,650.84",-10.63,0,"1,030,610,000"
22/09/01,"27,797.00","27,832.78","27,589.70","27,661.47",-430.06,-1.5,"1,100,420,000"
22/08/31,"27,928.09","28,104.80","27,906.17","28,091.53",-104.05,-0.4,"1,332,180,000"
22/08/30,"28,086.72","28,233.80","27,944.25","28,195.58",316.62,1.1,"998,380,000"
22/08/29,"28,161.06","28,179.09","27,788.12","27,878.96",-762.42,-2.7,"1,073,660,000"
22/08/26,"28,639.47","28,792.93","28,608.70","28,641.38",162.37,0.6,"855,510,000"
22/08/25,"28,415.11","28,534.71","28,357.03","28,479.01",165.54,0.6,"906,450,000"
22/08/24,"28,481.34","28,515.61","28,282.21","28,313.47",-139.28,-0.5,"1,022,930,000"
22/08/23,"28,580.20","28,580.20","28,395.30","28,452.75",-341.75,-1.2,"974,310,000"
22/08/22,"28,654.07","28,828.21","28,586.36","28,794.50",-135.83,-0.5,"920,870,000"
22/08/19,"29,095.71","29,150.80","28,913.05","28,930.33",-11.81,0,"1,022,400,000"
22/08/18,"28,957.40","28,999.64","28,846.52","28,942.14",-280.63,-1,"987,930,000"
22/08/17,"28,952.65","29,222.77","28,944.71","29,222.77",353.86,1.2,"1,135,290,000"
22/08/16,"28,829.53","28,928.16","28,752.88","28,868.91",-2.87,0,"969,650,000"
22/08/15,"28,623.78","28,897.07","28,623.78","28,871.78",324.8,1.1,"994,600,000"
22/08/12,"28,251.74","28,546.98","28,207.86","28,546.98",727.65,2.6,"1,457,930,000"
22/08/10,"27,955.11","27,964.96","27,729.46","27,819.33",-180.63,-0.6,"1,055,220,000"
22/08/09,"28,236.84","28,257.34","27,966.91","27,999.96",-249.28,-0.9,"1,125,240,000"
22/08/08,"28,050.09","28,279.12","28,047.08","28,249.24",73.37,0.3,"1,123,350,000"
22/08/05,"27,915.06","28,190.04","27,910.22","28,175.87",243.67,0.9,"1,212,460,000"
22/08/04,"27,930.94","28,005.59","27,870.05","27,932.20",190.3,0.7,"1,295,400,000"
22/08/03,"27,673.00","27,837.63","27,634.65","27,741.90",147.17,0.5,"1,176,600,000"
22/08/02,"27,812.48","27,830.58","27,530.60","27,594.73",-398.62,-1.4,"1,160,860,000"
22/08/01,"27,813.82","27,993.35","27,751.59","27,993.35",191.71,0.7,"1,226,740,000"
22/07/29,"27,915.22","28,001.80","27,725.24","27,801.64",-13.84,0,"1,293,590,000"
22/07/28,"27,909.15","28,015.68","27,651.99","27,815.48",99.73,0.4,"1,376,790,000"
22/07/27,"27,575.16","27,772.97","27,525.09","27,715.75",60.54,0.2,"925,210,000"
22/07/26,"27,682.20","27,715.78","27,538.39","27,655.21",-44.04,-0.2,"869,890,000"
22/07/25,"27,697.77","27,848.59","27,663.16","27,699.25",-215.41,-0.8,"823,920,000"
22/07/22,"27,773.14","27,952.25","27,701.25","27,914.66",111.66,0.4,"993,860,000"
22/07/21,"27,627.88","27,803.00","27,549.56","27,803.00",122.74,0.4,"970,530,000"
22/07/20,"27,295.95","27,692.85","27,295.95","27,680.26",718.58,2.7,"1,114,290,000"
22/07/19,"27,003.83","27,043.58","26,791.71","26,961.68",173.21,0.6,"972,420,000"
22/07/15,"26,736.08","26,857.77","26,571.38","26,788.47",145.08,0.5,"1,078,310,000"
22/07/14,"26,357.32","26,713.07","26,312.79","26,643.39",164.62,0.6,"972,780,000"
22/07/13,"26,403.79","26,543.07","26,389.10","26,478.77",142.11,0.5,"893,560,000"
22/07/12,"26,701.00","26,718.67","26,278.28","26,336.66",-475.64,-1.8,"1,061,100,000"
22/07/11,"26,892.73","27,062.17","26,710.59","26,812.30",295.11,1.1,"1,152,480,000"
22/07/08,"26,623.85","26,881.75","26,510.53","26,517.19",26.66,0.1,"1,466,870,000"
22/07/07,"26,280.94","26,533.65","26,136.99","26,490.53",382.88,1.5,"1,278,950,000"
22/07/06,"26,190.40","26,298.96","26,051.19","26,107.65",-315.82,-1.2,"1,389,150,000"
22/07/05,"26,386.23","26,532.51","26,294.84","26,423.47",269.66,1,"1,038,180,000"
22/07/04,"26,086.78","26,258.86","25,945.83","26,153.81",218.19,0.8,"1,097,790,000"
22/07/01,"26,460.71","26,531.24","25,841.75","25,935.62",-457.42,-1.7,"1,349,730,000"
22/06/30,"26,753.28","26,753.28","26,324.31","26,393.04",-411.56,-1.5,"1,364,020,000"
22/06/29,"26,814.23","26,858.68","26,687.47","26,804.60",-244.87,-0.9,"1,662,920,000"
22/06/28,"26,795.68","27,062.31","26,789.50","27,049.47",178.2,0.7,"1,226,850,000"
22/06/27,"26,741.80","26,938.43","26,665.44","26,871.27",379.3,1.4,"1,109,570,000"
22/06/24,"26,228.42","26,519.16","26,148.56","26,491.97",320.72,1.2,"1,244,470,000"
22/06/23,"26,134.89","26,401.97","26,039.57","26,171.25",21.7,0.1,"1,082,290,000"
22/06/22,"26,441.72","26,462.83","26,149.17","26,149.55",-96.76,-0.4,"1,111,330,000"
22/06/21,"26,070.92","26,418.84","25,972.28","26,246.31",475.09,1.8,"1,113,400,000"
22/06/20,"26,156.62","26,156.62","25,520.23","25,771.22",-191.78,-0.7,"1,177,840,000"
22/06/17,"25,988.20","26,072.35","25,720.80","25,963.00",-468.2,-1.8,"1,869,650,000"
22/06/16,"26,715.52","26,947.70","26,431.20","26,431.20",105.04,0.4,"1,130,690,000"
22/06/15,"26,625.68","26,638.76","26,321.68","26,326.16",-303.7,-1.1,"1,226,530,000"
22/06/14,"26,555.75","26,657.92","26,357.90","26,629.86",-357.58,-1.3,"1,260,900,000"
22/06/13,"27,369.66","27,389.30","26,948.22","26,987.44",-836.85,-3,"1,218,590,000"
22/06/10,"27,996.35","28,044.45","27,795.17","27,824.29",-422.24,-1.5,"1,272,530,000"
22/06/09,"28,189.35","28,389.75","28,189.35","28,246.53",12.24,0,"1,287,270,000"
22/06/08,"28,100.26","28,234.29","28,089.78","28,234.29",290.34,1,"1,300,380,000"
22/06/07,"27,984.79","28,094.73","27,863.38","27,943.95",28.06,0.1,"1,174,580,000"
22/06/06,"27,549.64","27,979.54","27,523.95","27,915.89",154.32,0.6,"1,001,820,000"
22/06/03,"27,660.62","27,776.33","27,614.86","27,761.57",347.69,1.3,"1,108,280,000"
22/06/02,"27,340.52","27,450.47","27,251.24","27,413.88",-44.01,-0.2,"1,095,370,000"
22/06/01,"27,295.63","27,482.31","27,295.42","27,457.89",178.09,0.7,"1,228,850,000"
22/05/31,"27,318.09","27,463.33","27,250.70","27,279.80",-89.63,-0.3,"2,288,800,000"
22/05/30,"27,092.82","27,401.24","27,057.20","27,369.43",587.75,2.2,"1,681,740,000"
22/05/27,"26,947.80","26,996.70","26,731.60","26,781.68",176.84,0.7,"1,168,390,000"
22/05/26,"26,685.02","26,898.75","26,597.97","26,604.84",-72.96,-0.3,"1,085,810,000"
22/05/25,"26,711.53","26,795.89","26,578.03","26,677.80",-70.34,-0.3,"1,164,920,000"
22/05/24,"27,005.43","27,005.43","26,736.01","26,748.14",-253.38,-0.9,"1,113,510,000"
22/05/23,"26,991.42","27,047.47","26,832.65","27,001.52",262.49,1,"1,097,990,000"
22/05/20,"26,448.23","26,769.20","26,426.99","26,739.03",336.19,1.3,"1,253,300,000"
22/05/19,"26,435.32","26,458.85","26,150.09","26,402.84",-508.36,-1.9,"1,264,390,000"
22/05/18,"26,826.82","27,053.18","26,741.34","26,911.20",251.45,0.9,"1,267,160,000"
22/05/17,"26,555.23","26,709.26","26,440.62","26,659.75",112.7,0.4,"1,320,980,000"
22/05/16,"26,753.37","26,836.96","26,438.61","26,547.05",119.4,0.5,"1,500,490,000"
22/05/13,"25,918.80","26,479.93","25,904.40","26,427.65",678.93,2.6,"1,648,180,000"
22/05/12,"25,945.04","26,028.36","25,688.11","25,748.72",-464.92,-1.8,"1,481,010,000"
22/05/11,"26,045.38","26,290.62","26,003.26","26,213.64",46.54,0.2,"1,368,540,000"
22/05/10,"26,149.06","26,246.63","25,773.83","26,167.10",-152.24,-0.6,"1,372,450,000"
22/05/09,"26,705.32","26,732.61","26,309.22","26,319.34",-684.22,-2.5,"1,263,420,000"
22/05/06,"26,784.29","27,072.59","26,543.29","27,003.56",185.03,0.7,"1,498,560,000"
22/05/02,"26,851.10","26,964.59","26,610.86","26,818.53",-29.37,-0.1,"1,194,200,000"
22/04/28,"26,430.28","26,876.95","26,348.36","26,847.90",461.27,1.7,"1,383,630,000"
22/04/27,"26,313.14","26,406.62","26,051.04","26,386.63",-313.48,-1.2,"1,655,610,000"
22/04/26,"26,743.21","26,808.99","26,592.99","26,700.11",109.33,0.4,"1,034,500,000"
22/04/25,"26,692.48","26,764.48","26,487.84","26,590.78",-514.48,-1.9,"1,013,500,000"
22/04/22,"27,197.80","27,205.83","26,904.38","27,105.26",-447.8,-1.6,"979,400,000"
22/04/21,"27,259.14","27,580.64","27,252.83","27,553.06",335.21,1.2,"1,029,120,000"
22/04/20,"27,210.79","27,389.84","27,066.18","27,217.85",232.76,0.9,"1,146,540,000"
22/04/19,"27,096.49","27,100.59","26,777.71","26,985.09",185.38,0.7,"961,960,000"
22/04/18,"26,831.45","26,851.80","26,571.38","26,799.71",-293.48,-1.1,"834,810,000"
22/04/15,"26,932.48","27,203.77","26,784.92","27,093.19",-78.81,-0.3,"880,060,000"
22/04/14,"26,925.64","27,200.89","26,890.68","27,172.00",328.51,1.2,"1,010,050,000"
22/04/13,"26,436.06","26,885.87","26,429.47","26,843.49",508.51,1.9,"1,165,820,000"
22/04/12,"26,606.87","26,674.86","26,304.08","26,334.98",-486.54,-1.8,"1,175,860,000"
