data,open,high,low,close,month_to_month,month_to_month_percent,volume
22/09/30,"27,797.00","28,659.76","25,805.59","25,937.21","-2,154.32",-7.7,"23,112,339,200"
22/08/31,"27,813.82","29,222.77","27,530.60","28,091.53",289.89,1,"24,027,960,000"
22/07/29,"26,460.71","28,015.68","25,841.75","27,801.64","1,408.60",5.3,"22,119,400,000"
22/06/30,"27,295.63","28,389.75","25,520.23","26,393.04",-886.76,-3.3,"27,268,131,200"
22/05/31,"26,851.10","27,463.33","25,688.11","27,279.80",431.9,1.6,"26,033,840,000"
22/04/28,"27,624.11","27,965.94","26,051.04","26,847.90",-973.53,-3.5,"22,408,870,400"
22/03/31,"26,836.74","28,338.81","24,681.74","27,821.43","1,294.61",4.9,"31,111,910,400"
22/02/28,"27,167.14","27,880.70","25,775.64","26,526.82",-475.16,-1.8,"23,532,910,400"
22/01/31,"29,098.41","29,388.16","26,044.52","27,001.98","-1,789.73",-6.2,"23,763,689,600"
21/12/30,"27,866.73","29,121.01","27,588.61","28,791.71",969.95,3.5,"23,050,659,200"
21/11/30,"29,330.68","29,960.93","27,819.14","27,821.76","-1,070.93",-3.7,"25,885,760,000"
21/10/29,"29,235.11","29,489.11","27,293.62","28,892.69",-559.97,-1.9,"26,808,809,600"
21/09/30,"28,179.04","30,795.78","28,179.04","29,452.66","1,363.12",4.9,"26,328,510,400"
21/08/31,"27,493.32","28,279.80","26,954.81","28,089.54",805.95,3,"21,388,550,400"
21/07/30,"28,832.41","28,852.31","27,272.49","27,283.59","-1,507.94",-5.2,"20,149,180,800"
21/06/30,"28,998.65","29,480.85","27,795.86","28,791.53",-68.55,-0.2,"22,840,320,000"
21/05/31,"29,024.01","29,685.41","27,385.03","28,860.08",47.45,0.2,"22,778,950,400"
21/04/30,"29,441.91","30,208.89","28,419.84","28,812.63",-366.17,-1.3,"22,583,680,000"
21/03/31,"29,419.45","30,485.00","28,308.57","29,178.80",212.79,0.7,"33,232,620,800"
21/02/26,"27,649.07","30,714.52","27,649.07","28,966.01","1,302.62",4.7,"25,125,379,200"
21/01/29,"27,575.57","28,979.53","27,002.18","27,663.39",219.22,0.8,"23,654,440,000"
20/12/30,"26,624.20","27,602.52","26,327.08","27,444.17","1,010.55",3.8,"24,305,070,400"
20/11/30,"23,110.74","26,834.20","23,096.79","26,433.62","3,456.49",15,"27,279,740,800"
20/10/30,"23,185.12","23,725.58","22,948.47","22,977.13",-207.99,-0.9,"20,813,219,200"
20/09/30,"23,089.63","23,622.74","22,878.71","23,185.12",45.36,0.2,"24,261,190,400"
20/08/31,"21,947.58","23,431.04","21,919.83","23,139.76","1,429.76",6.6,"23,127,270,400"
20/07/31,"22,338.30","22,965.56","21,710.00","21,710.00",-578.14,-2.6,"24,917,480,000"
20/06/30,"21,910.89","23,185.85","21,529.83","22,288.14",410.25,1.9,"30,059,510,400"
20/05/29,"19,991.97","21,955.44","19,448.93","21,877.89","1,684.20",8.3,"25,687,790,400"
20/04/30,"18,686.12","20,365.89","17,646.50","20,193.69","1,276.68",6.7,"29,459,350,400"
20/03/31,"20,849.79","21,719.78","16,358.19","18,917.01","-2,225.95",-10.5,"48,156,038,400"
20/02/28,"22,874.27","23,995.37","20,916.40","21,142.96","-2,062.22",-8.9,"25,497,760,000"
20/01/31,"23,319.76","24,115.95","22,892.95","23,205.18",-451.44,-1.9,"21,417,190,400"
19/12/30,"23,388.63","24,091.12","23,044.78","23,656.62",362.71,1.6,"22,904,060,800"
19/11/29,"22,730.49","23,608.06","22,705.60","23,293.91",366.87,1.6,"25,554,179,200"
19/10/31,"21,831.44","23,008.43","21,276.01","22,927.04","1,171.20",5.4,"24,890,489,600"
19/09/30,"20,625.75","22,255.56","20,554.16","21,755.84","1,051.47",5.1,"24,218,800,000"
19/08/30,"21,361.58","21,556.69","20,110.76","20,704.37",-817.16,-3.8,"23,984,849,600"
19/07/31,"21,566.27","21,823.07","20,993.44","21,521.53",245.61,1.2,"22,994,609,600"
19/06/28,"20,327.87","21,497.82","20,289.64","21,275.92",674.73,3.3,"22,120,409,600"
19/05/31,"22,184.40","22,190.49","20,581.58","20,601.19","-1,657.54",-7.4,"26,515,360,000"
19/04/26,"21,500.89","22,362.92","21,471.12","22,258.73","1,052.92",5,"23,194,089,600"
19/03/29,"21,490.02","21,860.39","20,911.57","21,205.81",-179.35,-0.8,"24,873,910,400"
19/02/28,"20,797.03","21,610.88","20,315.31","21,385.16",611.67,2.9,"23,726,310,400"
19/01/31,"19,655.13","20,892.68","19,241.37","20,773.49",758.72,3.8,"24,112,400,000"
18/12/28,"22,629.39","22,698.79","18,948.58","20,014.77","-2,336.29",-10.5,"29,273,049,600"
18/11/30,"21,906.41","22,583.43","21,243.38","22,351.06",430.6,2,"30,786,889,600"
18/10/31,"24,173.37","24,448.07","20,971.93","21,920.46","-2,199.58",-9.1,"32,935,049,600"
18/09/28,"22,819.17","24,286.10","22,172.90","24,120.04","1,254.89",5.5,"26,176,240,000"
18/08/31,"22,642.18","23,032.17","21,851.32","22,865.15",311.43,1.4,"29,698,188,800"
18/07/31,"22,233.80","22,949.32","21,462.95","22,553.72",249.21,1.1,"28,398,569,600"
18/06/29,"22,126.25","23,011.57","22,038.40","22,304.51",102.69,0.5,"29,861,068,800"
18/05/31,"22,453.42","23,050.39","21,931.65","22,201.82",-266.05,-1.2,"32,101,638,400"
18/04/27,"21,441.57","22,495.56","21,056.02","22,467.87","1,013.57",4.7,"28,799,529,600"
18/03/30,"21,901.13","21,971.16","20,347.49","21,454.30",-613.94,-2.8,"29,343,100,800"
18/02/28,"23,276.10","23,492.77","20,950.15","22,068.24","-1,030.05",-4.5,"32,226,508,800"
18/01/31,"23,073.73","24,129.34","23,065.20","23,098.29",333.35,1.5,"29,630,470,400"
17/12/29,"22,916.93","22,994.33","22,119.21","22,764.94",39.98,0.2,"30,950,259,200"
17/11/30,"22,144.92","23,382.15","21,972.34","22,724.96",713.35,3.2,"36,399,520,000"
17/10/31,"20,400.51","22,086.88","20,363.28","22,011.61","1,655.33",8.1,"34,464,131,200"
17/09/29,"19,733.57","20,481.27","19,239.52","20,356.28",710.04,3.6,"33,642,588,800"
17/08/31,"19,907.08","20,113.73","19,280.02","19,646.24",-278.94,-1.4,"35,369,059,200"
17/07/31,"20,056.32","20,200.88","19,856.65","19,925.18",-108.25,-0.5,"34,153,750,400"
17/06/30,"19,692.16","20,318.11","19,686.32","20,033.43",382.86,1.9,"39,488,240,000"
17/05/31,"19,154.03","19,998.49","19,144.62","19,650.57",453.83,2.4,"37,720,880,000"
17/04/28,"18,988.00","19,289.43","18,224.68","19,196.74",287.48,1.5,"38,340,588,800"
17/03/31,"19,226.94","19,668.01","18,909.26","18,909.26",-209.73,-1.1,"39,805,148,800"
17/02/28,"18,926.97","19,519.44","18,805.32","19,118.99",77.65,0.4,"38,831,308,800"
17/01/31,"19,298.68","19,615.40","18,650.33","19,041.34",-73.03,-0.4,"36,130,691,200"
