open,open,high,low,close,previous,previous_ratio,volume
22/10/20,"1,890.05","1,899.25","1,886.96","1,895.41",-9.65,-0.5,"1,044,530,000"
22/10/19,"1,901.42","1,910.91","1,901.42","1,905.06",3.62,0.2,"957,040,000"
22/10/18,"1,902.00","1,905.34","1,889.59","1,901.44",21.88,1.2,"1,106,720,000"
22/10/17,"1,881.23","1,884.43","1,875.24","1,879.56",-18.63,-1,"1,057,210,000"
22/10/14,"1,882.05","1,906.07","1,880.62","1,898.19",43.58,2.3,"1,319,310,000"
22/10/13,"1,866.09","1,866.83","1,854.61","1,854.61",-14.39,-0.8,"1,042,870,000"
22/10/12,"1,867.27","1,876.01","1,865.64","1,869.00",-2.24,-0.1,"1,164,940,000"
22/10/11,"1,887.69","1,888.60","1,867.53","1,871.24",-35.56,-1.9,"1,296,460,000"
22/10/07,"1,898.37","1,913.59","1,896.41","1,906.80",-15.67,-0.8,"1,111,960,000"
22/10/06,"1,914.12","1,930.47","1,914.12","1,922.47",9.55,0.5,"1,139,430,000"
22/10/05,"1,922.22","1,924.53","1,909.35","1,912.92",6.03,0.3,"1,185,700,000"
22/10/04,"1,876.99","1,907.36","1,876.26","1,906.89",59.31,3.2,"1,378,660,000"
22/10/03,"1,827.32","1,848.04","1,815.30","1,847.58",11.64,0.6,"1,269,340,000"
22/09/30,"1,857.77","1,861.10","1,830.55","1,835.94",-32.86,-1.8,"1,520,290,000"
22/09/29,"1,856.08","1,872.44","1,853.17","1,868.80",13.65,0.7,"1,403,610,000"
22/09/28,"1,861.52","1,866.44","1,836.89","1,855.15",-17.86,-1,"1,554,740,000"
22/09/27,"1,872.71","1,883.30","1,870.89","1,873.01",8.73,0.5,"1,145,570,000"
22/09/26,"1,892.16","1,892.16","1,863.93","1,864.28",-51.84,-2.7,"1,526,630,000"
22/09/22,"1,904.17","1,918.75","1,903.14","1,916.12",-4.68,-0.2,"1,144,750,000"
22/09/21,"1,932.97","1,934.68","1,920.80","1,920.80",-26.47,-1.4,"1,068,750,000"
22/09/20,"1,951.10","1,956.96","1,944.34","1,947.27",8.71,0.4,"1,034,410,000"
22/09/16,"1,937.84","1,943.67","1,934.35","1,938.56",-11.87,-0.6,"1,417,560,000"
22/09/15,"1,948.49","1,954.38","1,946.37","1,950.43",2.97,0.2,"897,540,000"
22/09/14,"1,955.39","1,957.05","1,941.00","1,947.46",-39.11,-2,"1,200,480,000"
22/09/13,"1,981.38","1,987.55","1,977.09","1,986.57",6.35,0.3,"931,590,000"
22/09/12,"1,981.52","1,984.93","1,974.34","1,980.22",14.69,0.7,"925,870,000"
22/09/09,"1,958.43","1,969.11","1,957.71","1,965.53",7.91,0.4,"1,224,700,000"
22/09/08,"1,933.79","1,957.62","1,933.64","1,957.62",41.97,2.2,"1,207,650,000"
22/09/07,"1,920.87","1,921.23","1,906.26","1,915.65",-10.93,-0.6,"1,115,040,000"
22/09/06,"1,929.53","1,939.05","1,922.34","1,926.58",-2.21,-0.1,"850,210,000"
